disorder_key,disorder,fold,row_id,y_true,score_positive,tau_val,y_pred_at_tau_val
anger,Anger/IED (d1),1,2,1,0.33633974,0.9840696454048157,0
anger,Anger/IED (d1),1,4,1,0.9846917,0.9840696454048157,1
anger,Anger/IED (d1),1,6,1,0.9914231,0.9840696454048157,1
anger,Anger/IED (d1),1,7,0,0.014595453,0.9840696454048157,0
anger,Anger/IED (d1),1,10,1,0.99040365,0.9840696454048157,1
anger,Anger/IED (d1),1,13,0,0.013348942,0.9840696454048157,0
anger,Anger/IED (d1),1,18,0,0.031977627,0.9840696454048157,0
anger,Anger/IED (d1),1,19,1,0.9895974,0.9840696454048157,1
anger,Anger/IED (d1),1,21,0,0.013653689,0.9840696454048157,0
anger,Anger/IED (d1),1,22,0,0.016445585,0.9840696454048157,0
anger,Anger/IED (d1),1,27,1,0.991302,0.9840696454048157,1
anger,Anger/IED (d1),1,29,1,0.9911923,0.9840696454048157,1
anger,Anger/IED (d1),1,30,1,0.9911862,0.9840696454048157,1
anger,Anger/IED (d1),1,35,0,0.015432376,0.9840696454048157,0
anger,Anger/IED (d1),1,36,1,0.9914711,0.9840696454048157,1
anger,Anger/IED (d1),1,46,0,0.014735286,0.9840696454048157,0
anger,Anger/IED (d1),1,48,0,0.015012627,0.9840696454048157,0
anger,Anger/IED (d1),1,50,0,0.014884653,0.9840696454048157,0
anger,Anger/IED (d1),1,55,0,0.015675865,0.9840696454048157,0
anger,Anger/IED (d1),1,60,0,0.018050855,0.9840696454048157,0
anger,Anger/IED (d1),1,64,1,0.9910314,0.9840696454048157,1
anger,Anger/IED (d1),1,65,0,0.015205606,0.9840696454048157,0
anger,Anger/IED (d1),1,69,0,0.01568768,0.9840696454048157,0
anger,Anger/IED (d1),1,75,1,0.9892629,0.9840696454048157,1
anger,Anger/IED (d1),1,79,0,0.015145793,0.9840696454048157,0
anger,Anger/IED (d1),1,80,0,0.013886034,0.9840696454048157,0
anger,Anger/IED (d1),1,82,1,0.99066925,0.9840696454048157,1
anger,Anger/IED (d1),1,83,1,0.9804402,0.9840696454048157,0
anger,Anger/IED (d1),1,84,1,0.98853964,0.9840696454048157,1
anger,Anger/IED (d1),1,91,1,0.018144505,0.9840696454048157,0
anger,Anger/IED (d1),1,96,1,0.99095494,0.9840696454048157,1
anger,Anger/IED (d1),1,100,1,0.9894923,0.9840696454048157,1
anger,Anger/IED (d1),1,106,1,0.99115705,0.9840696454048157,1
anger,Anger/IED (d1),1,107,0,0.013623417,0.9840696454048157,0
anger,Anger/IED (d1),1,111,0,0.017676735,0.9840696454048157,0
anger,Anger/IED (d1),1,117,0,0.01613459,0.9840696454048157,0
anger,Anger/IED (d1),1,118,0,0.013246684,0.9840696454048157,0
anger,Anger/IED (d1),1,119,0,0.014683993,0.9840696454048157,0
anger,Anger/IED (d1),1,121,1,0.98814875,0.9840696454048157,1
anger,Anger/IED (d1),1,126,0,0.017457658,0.9840696454048157,0
anger,Anger/IED (d1),1,129,1,0.85627073,0.9840696454048157,0
anger,Anger/IED (d1),1,133,1,0.98484194,0.9840696454048157,1
anger,Anger/IED (d1),1,138,0,0.017986882,0.9840696454048157,0
anger,Anger/IED (d1),1,141,1,0.016138723,0.9840696454048157,0
anger,Anger/IED (d1),1,142,1,0.9861703,0.9840696454048157,1
anger,Anger/IED (d1),1,154,0,0.012747401,0.9840696454048157,0
anger,Anger/IED (d1),1,160,0,0.013015895,0.9840696454048157,0
anger,Anger/IED (d1),1,161,1,0.9811693,0.9840696454048157,0
anger,Anger/IED (d1),1,168,0,0.013766765,0.9840696454048157,0
anger,Anger/IED (d1),1,173,0,0.014272318,0.9840696454048157,0
anger,Anger/IED (d1),1,176,1,0.9911951,0.9840696454048157,1
anger,Anger/IED (d1),1,179,1,0.9816976,0.9840696454048157,0
anger,Anger/IED (d1),1,189,0,0.026759122,0.9840696454048157,0
anger,Anger/IED (d1),1,192,1,0.991265,0.9840696454048157,1
anger,Anger/IED (d1),1,194,0,0.014737182,0.9840696454048157,0
anger,Anger/IED (d1),1,198,0,0.01374046,0.9840696454048157,0
anger,Anger/IED (d1),1,199,0,0.028704945,0.9840696454048157,0
anger,Anger/IED (d1),1,201,1,0.9911204,0.9840696454048157,1
anger,Anger/IED (d1),1,207,0,0.01504612,0.9840696454048157,0
anger,Anger/IED (d1),1,210,1,0.31716827,0.9840696454048157,0
anger,Anger/IED (d1),1,212,1,0.9909286,0.9840696454048157,1
anger,Anger/IED (d1),1,214,0,0.026918435,0.9840696454048157,0
anger,Anger/IED (d1),1,219,1,0.47104928,0.9840696454048157,0
anger,Anger/IED (d1),1,227,1,0.9912696,0.9840696454048157,1
anger,Anger/IED (d1),1,229,1,0.9912437,0.9840696454048157,1
anger,Anger/IED (d1),1,249,0,0.015021146,0.9840696454048157,0
anger,Anger/IED (d1),1,254,1,0.9910828,0.9840696454048157,1
anger,Anger/IED (d1),1,258,0,0.025814204,0.9840696454048157,0
anger,Anger/IED (d1),1,268,0,0.014838186,0.9840696454048157,0
anger,Anger/IED (d1),1,270,1,0.98901343,0.9840696454048157,1
anger,Anger/IED (d1),1,279,1,0.9900221,0.9840696454048157,1
anger,Anger/IED (d1),1,282,0,0.04396208,0.9840696454048157,0
anger,Anger/IED (d1),1,284,1,0.989359,0.9840696454048157,1
anger,Anger/IED (d1),1,285,1,0.99147546,0.9840696454048157,1
anger,Anger/IED (d1),1,290,0,0.015425103,0.9840696454048157,0
anger,Anger/IED (d1),2,1,0,0.009958002,0.11006422340869904,0
anger,Anger/IED (d1),2,11,1,0.9920026,0.11006422340869904,1
anger,Anger/IED (d1),2,14,1,0.9894204,0.11006422340869904,1
anger,Anger/IED (d1),2,16,1,0.9922633,0.11006422340869904,1
anger,Anger/IED (d1),2,24,1,0.9924034,0.11006422340869904,1
anger,Anger/IED (d1),2,28,0,0.9911438,0.11006422340869904,1
anger,Anger/IED (d1),2,32,0,0.9922879,0.11006422340869904,1
anger,Anger/IED (d1),2,38,1,0.99233574,0.11006422340869904,1
anger,Anger/IED (d1),2,39,1,0.99185365,0.11006422340869904,1
anger,Anger/IED (d1),2,41,1,0.9921383,0.11006422340869904,1
anger,Anger/IED (d1),2,42,0,0.008494275,0.11006422340869904,0
anger,Anger/IED (d1),2,54,0,0.011044141,0.11006422340869904,0
anger,Anger/IED (d1),2,56,0,0.012684278,0.11006422340869904,0
anger,Anger/IED (d1),2,57,1,0.03177485,0.11006422340869904,0
anger,Anger/IED (d1),2,62,0,0.014916639,0.11006422340869904,0
anger,Anger/IED (d1),2,67,1,0.99015534,0.11006422340869904,1
anger,Anger/IED (d1),2,71,1,0.9864624,0.11006422340869904,1
anger,Anger/IED (d1),2,78,0,0.009110989,0.11006422340869904,0
