disorder_key,disorder,fold,row_id,y_true,score_positive,tau_val,y_pred_at_tau_val
panic,Panic (d5),1,1,0,0.03863039,0.37889808416366577,0
panic,Panic (d5),1,3,0,0.022842526,0.37889808416366577,0
panic,Panic (d5),1,16,1,0.21701829,0.37889808416366577,0
panic,Panic (d5),1,17,1,0.9533358,0.37889808416366577,1
panic,Panic (d5),1,19,0,0.03027261,0.37889808416366577,0
panic,Panic (d5),1,25,1,0.9691347,0.37889808416366577,1
panic,Panic (d5),1,28,0,0.020698814,0.37889808416366577,0
panic,Panic (d5),1,29,1,0.97139615,0.37889808416366577,1
panic,Panic (d5),1,30,1,0.95035505,0.37889808416366577,1
panic,Panic (d5),1,31,1,0.9694508,0.37889808416366577,1
panic,Panic (d5),1,34,0,0.022585742,0.37889808416366577,0
panic,Panic (d5),1,41,0,0.019160958,0.37889808416366577,0
panic,Panic (d5),1,45,1,0.95908344,0.37889808416366577,1
panic,Panic (d5),1,46,0,0.017543813,0.37889808416366577,0
panic,Panic (d5),1,48,0,0.7816216,0.37889808416366577,1
panic,Panic (d5),1,53,1,0.974428,0.37889808416366577,1
panic,Panic (d5),1,56,0,0.65108216,0.37889808416366577,1
panic,Panic (d5),1,59,1,0.9715138,0.37889808416366577,1
panic,Panic (d5),1,62,0,0.025946973,0.37889808416366577,0
panic,Panic (d5),1,72,0,0.020534482,0.37889808416366577,0
panic,Panic (d5),1,75,1,0.9687148,0.37889808416366577,1
panic,Panic (d5),1,82,1,0.96804124,0.37889808416366577,1
panic,Panic (d5),1,84,0,0.018915277,0.37889808416366577,0
panic,Panic (d5),1,92,0,0.09481254,0.37889808416366577,0
panic,Panic (d5),1,101,1,0.9691491,0.37889808416366577,1
panic,Panic (d5),1,103,0,0.02411307,0.37889808416366577,0
panic,Panic (d5),1,104,1,0.9670884,0.37889808416366577,1
panic,Panic (d5),1,106,0,0.03238002,0.37889808416366577,0
panic,Panic (d5),1,107,1,0.9723512,0.37889808416366577,1
panic,Panic (d5),1,113,0,0.021706592,0.37889808416366577,0
panic,Panic (d5),1,114,0,0.023277504,0.37889808416366577,0
panic,Panic (d5),1,116,1,0.9759654,0.37889808416366577,1
panic,Panic (d5),1,119,0,0.2196677,0.37889808416366577,0
panic,Panic (d5),1,123,0,0.15876189,0.37889808416366577,0
panic,Panic (d5),1,124,0,0.02444431,0.37889808416366577,0
panic,Panic (d5),1,125,0,0.45836315,0.37889808416366577,1
panic,Panic (d5),1,130,0,0.7861502,0.37889808416366577,1
panic,Panic (d5),1,138,1,0.97429556,0.37889808416366577,1
panic,Panic (d5),1,150,1,0.9713202,0.37889808416366577,1
panic,Panic (d5),1,160,1,0.9740639,0.37889808416366577,1
panic,Panic (d5),1,162,1,0.9688515,0.37889808416366577,1
panic,Panic (d5),1,163,1,0.9711586,0.37889808416366577,1
panic,Panic (d5),1,166,1,0.9742586,0.37889808416366577,1
panic,Panic (d5),1,168,1,0.9682246,0.37889808416366577,1
panic,Panic (d5),1,169,1,0.97173834,0.37889808416366577,1
panic,Panic (d5),1,190,1,0.97576785,0.37889808416366577,1
panic,Panic (d5),1,191,0,0.8844085,0.37889808416366577,1
panic,Panic (d5),1,193,0,0.92961895,0.37889808416366577,1
panic,Panic (d5),1,194,0,0.861155,0.37889808416366577,1
panic,Panic (d5),1,195,0,0.028814327,0.37889808416366577,0
panic,Panic (d5),1,204,1,0.95082617,0.37889808416366577,1
panic,Panic (d5),1,206,0,0.022201002,0.37889808416366577,0
panic,Panic (d5),1,209,1,0.97088,0.37889808416366577,1
panic,Panic (d5),1,211,0,0.018858911,0.37889808416366577,0
panic,Panic (d5),1,213,1,0.7320519,0.37889808416366577,1
panic,Panic (d5),1,218,1,0.9751785,0.37889808416366577,1
panic,Panic (d5),2,2,1,0.96792597,0.8651226162910461,1
panic,Panic (d5),2,11,0,0.93079865,0.8651226162910461,1
panic,Panic (d5),2,12,0,0.14979172,0.8651226162910461,0
panic,Panic (d5),2,15,1,0.79769945,0.8651226162910461,0
panic,Panic (d5),2,20,1,0.9624725,0.8651226162910461,1
panic,Panic (d5),2,21,1,0.76189214,0.8651226162910461,0
panic,Panic (d5),2,40,0,0.17351055,0.8651226162910461,0
panic,Panic (d5),2,42,0,0.09905668,0.8651226162910461,0
